timestamp,voltage_kv,current_a,oil_temperature_c,vibration_mm_s,oil_level_percent,load_factor_percent,ambient_temperature_c,fault_status,temp_difference,power_factor,efficiency_ratio,predicted_status
2023-01-01 00:00:00,232.48,147.2,70.2,0.65,94.3,71.5,40.8,Normal,29.400000000000006,34.221056,1.0042134831460674,Normal
2023-01-01 01:00:00,233.84,140.6,69.3,0.45,93.6,78.6,5.9,Normal,63.4,32.877904,1.1180654338549074,Normal
2023-01-01 02:00:00,221.38,138.8,56.9,0.53,92.3,53.8,39.7,Normal,17.199999999999996,30.727544,0.929188255613126,Normal
2023-01-01 03:00:00,228.87,151.4,53.6,0.45,95.3,57.7,28.8,Normal,24.8,34.650918000000004,1.0567765567765568,Normal
2023-01-01 04:00:00,227.0,144.2,60.2,0.69,95.0,59.1,33.2,Normal,27.0,32.733399999999996,0.9656862745098039,Normal
2023-01-01 05:00:00,223.9,154.2,49.3,0.37,95.6,86.1,26.7,Normal,22.599999999999998,34.52538,1.7117296222664016,Normal
2023-01-01 06:00:00,224.07,172.5,60.2,0.66,85.7,106.1,34.1,Warning,26.1,38.652074999999996,1.733660130718954,Warning
2023-01-01 07:00:00,221.18,156.5,61.9,0.43,96.8,90.5,34.3,Normal,27.6,34.61467,1.43879173290938,Normal
2023-01-01 08:00:00,225.8,143.8,67.7,0.6,93.6,72.2,13.9,Normal,53.800000000000004,32.470040000000004,1.0509461426491995,Normal
2023-01-01 09:00:00,224.02,166.3,75.8,0.49,98.0,80.4,18.5,Normal,57.3,37.254526000000006,1.0468750000000002,Warning
2023-01-01 10:00:00,231.81,180.8,64.7,0.66,87.1,87.3,25.9,Normal,38.800000000000004,41.911248,1.3287671232876712,Warning
2023-01-01 11:00:00,228.5,151.8,49.1,0.48,96.1,97.2,19.8,Normal,29.3,34.6863,1.9401197604790419,Normal
2023-01-01 12:00:00,225.96,140.0,72.3,0.53,93.4,82.7,26.0,Normal,46.3,31.634400000000003,1.1282401091405185,Normal
2023-01-01 13:00:00,234.84,136.0,62.4,0.46,90.6,79.4,27.6,Normal,34.8,31.93824,1.2523659305993693,Normal
2023-01-01 14:00:00,230.03,145.3,53.7,0.46,94.0,63.0,23.4,Normal,30.300000000000004,33.423359000000005,1.1517367458866543,Normal
2023-01-01 15:00:00,232.02,187.7,66.4,0.53,94.8,46.2,24.7,Normal,41.7,43.550154,0.685459940652819,Normal
2023-01-01 16:00:00,230.3,199.3,63.5,0.53,94.9,57.5,36.4,Normal,27.1,45.898790000000005,0.8914728682170543,Normal
2023-01-01 17:00:00,233.76,165.8,57.7,0.64,90.8,83.8,46.9,Normal,10.800000000000004,38.757408000000005,1.4275979557069844,Normal
2023-01-01 18:00:00,217.08,165.8,76.0,0.7,80.2,86.4,17.3,Warning,58.7,35.991864,1.1220779220779222,Critical
2023-01-01 19:00:00,232.37,131.6,77.4,0.42,94.0,87.2,12.7,Normal,64.7,30.579892,1.1122448979591837,Normal
2023-01-01 20:00:00,226.82,212.7,58.9,0.84,89.3,100.6,15.2,Warning,43.7,48.24461399999999,1.679465776293823,Critical
2023-01-01 21:00:00,223.4,160.4,67.4,0.53,96.0,64.8,27.3,Normal,40.10000000000001,35.83336,0.9473684210526314,Normal
2023-01-01 22:00:00,231.47,135.7,79.9,0.55,91.4,84.8,15.3,Normal,64.60000000000001,31.410478999999995,1.0482076637824473,Normal
2023-01-01 23:00:00,233.94,173.2,58.4,0.6,96.2,87.3,44.0,Normal,14.399999999999999,40.518407999999994,1.4696969696969697,Normal
2023-01-02 00:00:00,207.06,197.4,76.7,1.26,79.4,103.5,39.2,Critical,37.5,40.873644,1.332046332046332,Critical
2023-01-02 01:00:00,234.14,150.3,76.6,0.47,100.0,84.4,16.4,Normal,60.199999999999996,35.191241999999995,1.0876288659793816,Normal
2023-01-02 02:00:00,224.65,159.6,63.2,0.57,96.4,73.9,16.5,Normal,46.7,35.85414,1.1510903426791277,Normal
2023-01-02 03:00:00,222.43,141.1,71.9,0.52,91.3,77.6,28.9,Normal,43.00000000000001,31.384873,1.0644718792866938,Normal
2023-01-02 04:00:00,217.93,183.8,75.6,0.57,89.8,96.2,43.0,Warning,32.599999999999994,40.05553400000001,1.255874673629243,Critical
2023-01-02 05:00:00,235.27,122.4,57.5,0.55,96.5,82.7,50.0,Normal,7.5,28.797048000000004,1.4136752136752138,Normal
2023-01-02 06:00:00,229.57,208.4,84.5,0.93,86.4,100.2,20.7,Warning,63.8,47.842388,1.1719298245614036,Critical
2023-01-02 07:00:00,228.82,140.3,65.7,0.73,89.4,85.3,8.9,Normal,56.800000000000004,32.103446,1.2788605697151423,Normal
2023-01-02 08:00:00,227.64,171.8,65.5,0.39,92.9,85.2,17.7,Normal,47.8,39.108552,1.281203007518797,Normal
2023-01-02 09:00:00,212.6,221.4,80.2,2.14,85.1,44.4,37.8,Critical,42.400000000000006,47.06964,0.5467980295566502,Critical
2023-01-02 10:00:00,226.69,167.0,58.7,0.49,96.5,88.0,13.0,Normal,45.7,37.85723,1.474036850921273,Normal
2023-01-02 11:00:00,228.33,140.5,59.8,0.68,96.2,56.1,34.2,Normal,25.599999999999994,32.080365,0.9226973684210527,Normal
2023-01-02 12:00:00,241.98,205.8,59.8,0.7,94.3,70.8,35.3,Warning,24.5,49.79948400000001,1.1644736842105263,Warning
